word,attribute,count
在,p,1340
不,d,1313
了,ul,938
有,v,781
說,v,766
是,v,725
都,d,710
也,d,703
讓,v,637
還,d,562
會,v,542
就,d,528
什麼,r,467
愛,v,464
後,nr,460
想,v,432
過,ug,431
自己,r,416
誰,r,376
要,v,370
這,r,362
人,n,352
一個,m,350
像,v,345
被,p,343
和,c,342
看,v,319
沒有,v,316
夢,n,307
對,p,301
世界,n,284
卻,d,278
來,v,274
多,m,260
好,a,258
那,r,257
走,v,252
又,d,252
去,v,248
再,d,246
太,d,239
裡,f,236
得,ud,228
而,c,227
不要,df,224
為,p,220
知道,v,218
只,d,209
上,f,207
啦,y,207
離開,v,207
時間,n,201
它,r,196
時候,n,190
所有,b,176
中,f,175
到,v,172
著,v,168
沒,d,166
因為,c,166
地,uv,163
他,r,159
聽,v,158
給,p,156
把,p,156
能,v,150
最,d,150
這樣,r,149
心,n,147
寂寞,a,146
她,r,142
生活,vn,138
從,p,135
才,d,134
手,n,132
別,d,131
曾經,d,131
已,d,131
於,nr,130
話,n,128
怎麼,r,128
找,v,125
很,d,125
臉,n,121
就算,v,121
溫柔,a,119
一,m,112
生命,vn,111
如果,c,111
與,p,111
這裡,r,109
今天,t,108
需要,v,106
如何,r,106
快,a,104
相信,v,104
做,v,102
失去,v,101
用,p,100
當,p,98
天空,n,98
喜歡,v,98
擁抱,v,98
一起,m,98
見,v,97
該,r,96
變成,v,95
不能,v,93
以,p,93
只是,c,92
無,v,92
可能,v,92
城市,ns,92
不是,c,92
不出,v,91
更,d,88
一片,m,88
下,f,88
頭,n,88
讓,x,87
但,c,87
起,v,86
沈,nr,86
笑,v,86
開始,v,86
一點,m,86
一切,r,85
將,d,85
一天,m,84
那麼,r,83
瘋狂,a,83
願,v,82
一些,m,82
多少,m,80
曾,d,80
發現,v,79
眼淚,n,79
帶,v,79
懂,v,78
並,c,78
回憶,v,77
每,r,77
自由,a,76
看見,v,76
告訴,v,76
問,v,75
回家,n,75
真,d,75
身邊,s,75
或,c,73
沈默,nr,73
也許,d,72
前,f,71
眼睛,n,71
愛情,n,71
改變,v,70
躲,v,70
隨,v,70
可以,c,70
全都,n,69
總,b,69
難,a,69
想要,v,69
睡,v,69
陪,v,69
沒,v,69
個,q,68
若,c,68
一瞬,t,67
出,v,67
間,f,67
啊,y,67
一種,m,66
點,m,66
一直,d,66
時,ng,65
心裡,s,65
哎,e,65
擁有,v,65
美好,a,64
不想,v,64
忘,v,63
其實,d,63
這麼,r,63
覺得,v,63
風,n,63
等,u,63
天,q,62
一秒,m,62
越,d,61
長,a,61
雨,n,61
繼續,v,60
開,v,60
就要,d,60
早已,d,60
害怕,v,60
希望,v,59
幻想,n,59
眼,n,59
面,n,59
之間,f,59
遠,a,58
房間,n,58
之,u,58
月,m,58
只有,c,57
明天,t,57
輕,a,57
思念,n,57
原因,n,57
魚,n,57
歌,n,56
嗎,y,56
寫,v,56
太陽,ns,56
表情,n,56
可,v,55
一次,m,55
這個,r,55
大,a,55
語言,n,55
不再,d,55
美麗,a,54
跟,p,54
永遠,d,54
所以,c,54
鐘,n,54
昨天,t,53
宇宙,n,53
現在,t,53
慢慢,d,52
傷,v,52
然,r,52
未來,t,52
從來,d,52
一首歌,m,51
請,v,51
簡單,a,51
心中,s,51
不了,v,51
翅膀,n,50
愛著,v,50
花,v,50
比,p,50
人生,n,50
已經,d,50
真心,d,49
渴望,v,49
就是,d,49
哪,r,49
淺,a,49
唱,v,49
整個,b,49
快樂,a,48
一場,m,48
懶,a,48
得到,v,47
放棄,v,47
飛,v,47
跟著,v,47
吧,y,47
裡面,f,47
故事,n,47
恨,v,47
空氣,n,46
靠近,v,46
是否,v,46
應該,v,46
悲傷,a,45
有人,r,45
不見,v,45
別人,r,45
如此,c,45
街,n,45
情緒,n,45
日子,n,44
離,v,44
哪裡,r,44
般,u,44
看著,v,44
不管,c,44
這,zg,44
留給,v,44
一樣,u,44
望,v,44
一步,m,43
明白,nr,43
只怕,c,43
記憶,n,43
夜晚,t,43
永恆,z,43
眼神,n,43
下午,t,43
冬天,t,43
麼,y,42
靜靜,z,42
是不是,l,42
夜,tg,42
之前,f,42
危險,an,42
蔓延,v,42
意義,n,42
影子,n,42
享受,v,42
決定,v,42
落,v,42
勇敢,a,41
消失,n,41
聰明,a,41
那些,r,41
瞭解,v,41
飛,x,41
想著,v,41
猜,v,41
結果,n,41
黑暗,z,41
或許,d,41
值得,v,41
線,n,41
那個,r,40
微笑,vn,40
等待,v,40
一口,m,40
悔,vg,40
蝴蝶,n,40
靈魂,n,40
成,v,40
陽光,n,40
死,v,40
氣,n,40
掉,v,39
機會,n,39
咖啡,n,39
忽,d,39
亂,d,39
煩惱,a,39
畫面,n,39
新,a,39
火,n,39
鬧,v,38
真實,d,38
老,a,38
用力,n,38
坐,v,38
感覺,n,38
距離,n,38
躺,v,38
擱,v,38
雨水,n,37
夏天,t,37
停下,v,37
才能,v,37
身體,n,37
一句,m,37
停,v,37
練習,v,37
換來,v,37
模樣,n,37
過去,t,36
腳,n,36
想像,v,36
澱,zg,36
牽,v,36
黑,a,36
燈,n,36
一般,a,36
空間,n,36
存在,v,36
