word,count
雙手,3
幻覺,4
驕傲,3
明確,1
怎麼,16
經不僅,2
還沒,2
一樣,12
錢,6
宣導,1
得意忘形,3
然,1
養壞,3
吃不完,3
蔡頭,1
許多,2
邊界,1
渴能,1
暫化,4
尋常,2
遠,1
心裡,1
平安,4
造悲劇,2
歲,2
其,1
揣摩,2
掂,4
醜兒,2
個,13
為夠,1
外套,3
過夢擁,2
無,10
小臉,1
哎呀,8
不問,2
成功,1
是,167
擁抱,14
剝繭,2
姿態,2
不留,1
做過,1
何其,4
嗎,13
以便,1
也,108
懂不懂,10
大後看,1
播種,1
離今,3
無法,4
中人,2
那種,2
上,10
代表,1
歡永恆,2
苦日子,5
誘惑,2
主角,1
走走,3
一次,6
火神,1
彼時,2
穿越,2
包裹,3
覺得,30
日子,7
請離,1
白色,1
仁慈,3
任好,2
再費心,1
草野,1
偶經車,1
栽出,2
裡最,4
牢,2
總笑,2
濕手,6
跳,2
該,8
單卡,2
場難,1
奮力過,2
精采,3
明天,14
以來,3
想要,7
片段,4
活著,7
鬧,1
脫,1
並不總是,4
第一次,2
一段,6
今,2
前,9
沈沒前,10
髒,3
球路,1
相地,1
贈品,2
不理,4
不同,7
誤會,4
忍受,2
靠近,2
迴,2
記憶,1
點以,1
鮮艷,1
不知,3
確厭,1
那天,8
河水,1
再,10
看起,2
羨慕,1
就,62
溫馨,2
復,2
多困,1
偶爾搖晃,2
鑰匙,1
重,1
之後看,2
饒,1
沈重,1
才能,6
雨裡,2
牠,7
難,6
東西,2
地飄灑,1
泥土,2
不疏,3
像是,2
成為,6
心樂,1
越,1
笑,13
常常,2
寶貝倦,6
放著,2
耕作,1
冰箱,2
介意,2
盪多狂,1
提苦惱,1
誰,32
侵略,2
部分,2
那首,2
手握,3
懂,10
全都,7
寶貝寶貝給,6
誤會給,1
歌名,5
遺言,2
盛放,2
兩個,2
非愛這樣,1
多嘴,1
相,3
不真,1
好,27
先鬧,3
什麼,32
最憂愁,2
狼狽,1
或,5
千萬花,2
經以,4
花,4
悲傷,13
每天,2
同一,1
這種,1
盪記憶裡,1
蟬蟬,1
爭奪,1
冷,1
事物,2
沒察覺,2
佈,2
熱喝,1
噎,3
痛快,1
巴掌,1
懂得,2
成全,3
機會,5
寫下,2
應該,8
眼淚,6
那顆,1
昏送,2
日夜,2
某個,1
寶貝要,10
種,1
會,19
複,1
公車,1
場合,2
某部,4
大,5
手把,3
許,4
事兒,2
世紀,2
揀,5
昏暗,4
歌唱,2
盡情,1
太難過,2
最難,4
上空,2
青春,2
消長,2
話,7
無數次,4
酷,6
懶得,1
十二,1
穿梭,1
黏人,1
思考,3
乾燥,1
不出,2
風揚,1
起來,2
那,23
地搖晃,3
感傷,1
天上,3
富江,1
心泛,1
同時,5
很久以前,2
胡言,3
理想,4
句,2
真相,7
不再,12
快樂當,4
失落,4
結果,2
當,1
勝天,2
痛徹,1
眾人,8
如水經,1
霍,5
會痛,1
抱歉,2
一些,1
天,4
企業,2
結束,1
答案,4
撫觸,1
火什麼,6
聽見,3
天份,1
久居,1
胡說,2
其中,1
想法,4
偷偷,1
不然,3
原始,2
高處,1
給限,1
眉梢,1
它本,2
扯,1
一件,4
迷惑,2
方向,6
合不來,2
晾,2
─,1
唱腔,1
擁有,17
開,1
還要,6
全在,4
寂寞,27
不像,2
綻,2
刺,2
擁,2
時,3
反正,3
身上,7
過,3
開花,2
孔,1
當去,1
大大,1
過程,3
阻止,3
分寸,2
想起,8
走,23
心跳,2
心聽雨聲,1
般夢想,2
以後什麼,1
翅膀,4
少,1
那麼,18
沒說,4
別,12
不過,4
土地,3
躲,2
最傷,1
併,1
總,3
對來,2
討好,1
浮生,1
拋空,3
意足,2
離,6
阿成,1
光彩,3
怯場,1
繽,2
時才,2
不可,2
眼裡,14
變成,1
同,6
狗狗,2
地來,1
熱烈,6
這場面,1
安靜,5
無言,2
迷戀,2
漂亮,2
太,1
人要,5
肯,1
痛苦,2
這張,1
但,22
感動,6
像,10
美好,6
愉美,2
相傳,1
不去,6
深深,1
畢,5
盤旋,2
精雕,3
遊戲,3
現下,2
心滿,2
甩過,1
記憶會,2
字眼,4
落下,6
掏出,2
快要,1
來,32
飛魚,4
瘋,6
和,48
透,1
吶哀傷,2
未知,7
真理,1
幼苗,1
海洋,2
回憶,2
感到,1
美妙,5
獨白勝過,6
歡氣,1
萬千,1
不錯,6
完全,2
就要,6
貪循,1
溫柔別,1
睡,4
事理,1
看見,17
永恆,1
揮,5
成品,3
消遣,3
出,6
寶貝,6
溫涼,2
最,10
抱後瞬間,1
純然,2
一首歌,5
臉上,2
諷刺,3
最初,2
解釋,4
要給,3
安全,7
永恆歲,2
思念,2
感受,1
寫,2
黑,1
還比,1
詞,1
