word,attribute,count
雙手,m,3
幻覺,n,4
驕傲,a,3
明確,a,1
怎麼,r,18
一樣,u,10
錢,n,6
宣導,v,1
般,u,2
艷麗,a,2
河,n,2
得意忘形,i,3
渴,a,2
然,r,7
養壞,v,3
吃不完,v,3
悲劇,n,2
許多,m,2
渴能,v,1
若,c,2
尋常,a,2
遠,a,1
心裡,s,3
平安,a,4
不開,v,5
字然,n,2
歲,q,2
其,r,5
愁,v,2
揣摩,v,2
掂,v,4
醜兒,n,2
沈,nr,16
個,q,4
為夠,v,1
外套,n,3
無,v,8
和一,nr,1
哎呀,e,8
成功,a,1
是,v,187
擁抱,v,24
姿態,n,1
不留,v,1
一樣,r,2
運,v,3
何其,c,4
嗎,y,13
以便,c,1
也,d,99
懂不懂,v,10
盤,q,2
前前,f,2
開有,v,1
播種,v,1
不言不語,i,1
無法,v,4
憑了,p,2
場面,n,1
中人,n,2
那種,r,2
愛愛愛,nr,4
分得,v,1
厭,vg,2
上,f,14
經,p,5
代表,n,1
苦日子,n,5
誘惑,v,2
主角,n,1
走走,v,3
一次,m,6
火神,n,1
彼時,r,2
穿越,v,2
無情無情,i,2
包裹,v,3
覺得,v,25
日子,n,7
說話模樣,l,2
白色,n,1
仁慈,nr,3
草野,n,1
偶經車,n,1
依賴,v,2
牢,a,2
樂溫馨,nr,2
濕手,v,4
跳,v,4
該,r,6
雨,n,4
精采,v,3
明天,t,14
這,r,49
交易,n,2
想要,v,7
片段,m,4
活著,v,8
脫,v,1
第一次,m,2
沒了,v,2
一段,m,6
今,tg,4
前,f,9
髒,y,3
球路,n,1
相地,d,1
贈品,n,2
但說,c,2
不理,v,4
不同,a,7
誤會,n,5
忍受,v,2
靠近,v,2
迴,zg,2
濕,x,1
記憶,n,1
鮮艷,a,1
不知,v,3
確厭,v,2
那天,r,8
說,v,73
再,d,9
錯,n,4
羨慕,v,1
祝福,nr,4
就,d,64
遇到,v,2
復,zg,2
水,n,3
傷,v,7
月,m,2
犧牲,v,2
鑰匙,n,1
重,a,1
饒,v,1
沈重,nr,1
才能,v,6
牠,yg,7
難,a,13
總,b,8
泥土,n,2
襲,v,1
像是,v,2
憂,v,2
成為,v,7
心樂,n,1
笑,v,21
定勝,v,2
常常,d,2
放著,v,2
耕作,vn,1
冰箱,n,2
介意,v,2
四散,j,3
誰,r,29
歲,m,2
設想,v,1
侵略,v,2
部分,n,2
手握,v,3
懂,v,10
擱著,v,2
全都,n,7
不露,v,4
卡,v,2
實,v,2
歌名,n,5
遺言,n,1
盛放,v,2
兩個,m,2
出點刺,v,2
多嘴,ns,1
相,v,1
好,a,38
先鬧,a,3
什麼,r,42
狼狽,an,1
或,c,5
春風,n,1
抱,v,1
悲傷,a,13
同一,b,1
這種,r,1
爭奪,v,1
冷,a,2
壞,a,7
事物,n,2
佈,yg,1
不隨,v,1
噎,v,3
別竊竊私語,i,1
巴掌,nr,1
懂得,v,2
成全,v,3
機會,n,5
跟,v,2
親愛,a,3
應該,v,10
眼淚,n,6
摸著,v,2
日夜,t,2
某個,r,1
畫,v,2
種,x,1
會,v,35
黃昏,t,2
複,zg,1
公車,n,1
場合,n,2
敗壞,v,1
某部,r,4
山,n,2
在壞,v,1
無法,d,2
大,a,8
手把,n,3
許,zg,4
事兒,n,2
世紀,n,12
揀,v,5
對了,p,2
問,v,4
昏暗,a,4
有個,r,12
走來,v,2
歌唱,n,2
盡情,d,1
最難,a,4
奧,j,1
青春,ns,2
消長,n,2
話,n,11
酷,d,6
煙,zg,2
十二,m,1
聊遍,v,1
穿梭,v,1
黏人,n,1
思考,v,3
乾燥,nr,1
不出,v,2
念頭,n,1
那,r,28
天上,s,3
富江,ns,1
著小,a,2
夜裡,t,3
同時,c,5
才學會,n,1
很久以前,l,2
胡言,nr,3
面,q,3
句,q,2
給,p,20
不再,d,12
失落,v,4
結果,n,2
深,a,3
當,zg,1
痛徹,v,1
眾人,n,5
變,v,4
霍,nr,1
討人厭字再練討人厭字,i,1
會痛,n,1
抱歉,v,2
一些,m,1
連,u,3
天,n,4
風,n,1
企業,n,2
結束,v,1
早上,t,1
答案,n,4
撫觸,v,1
麼,y,4
聽見,v,6
天份,nz,1
無言,i,1
久居,v,1
不輕言傷心在而告別,i,1
其中,r,1
想法,v,4
偷偷,d,1
不然,c,3
原始,v,2
書房,n,3
思潮,n,1
了能,v,1
扯,v,1
一件,m,4
迷惑,v,2
方向,n,6
合不來,v,2
寬容,a,2
快樂,a,7
唱腔,n,1
擁有,v,19
開,v,2
寂寞,a,27
飄灑,v,1
本,r,2
吶,y,8
擁,v,3
時,ng,3
討人厭字,i,9
反正,d,3
身上,s,7
過,ug,44
開花,n,2
孔,n,1
當去,t,1
看來,v,3
逃脫,v,1
大大,b,1
過程,n,3
阻止,v,3
分寸,n,2
想起,v,8
走,v,18
心跳,v,2
心聽雨聲,i,1
以來,f,3
翅膀,n,4
少,a,1
那麼,r,12
別,d,14
坐著,v,1
河水,ns,1
不過,c,2
土地,n,3
笑容,n,2
躲,v,2
最傷,a,1
併,yg,1
總,n,1
討好,v,1
浮生,v,1
拋空,v,3
畫面,n,2
厭倦,v,4
可快,v,1
蟬,n,2
阿成,nr,1
光彩,n,3
怯場,n,1
強愛,a,1
方雨,n,1
時才,n,2
不可,v,2
眼裡,s,14
變成,v,2
同,p,6
狗狗,n,2
熱烈,a,6
些,q,1
安靜,nr,3
無言,c,1
迷戀,v,2
漂亮,a,2
太,d,3
肯,v,1
痛苦,an,2
但,c,24
感動,v,6
像,v,19
畢,zg,2
美好,a,6
愉美,a,2
相傳,v,1
深深,b,1
畢,vg,1
盤旋,v,1
精雕,n,3
遊戲,n,3
現下,t,5
而非,c,1
記憶會,n,2
字眼,n,4
竊,vg,2
掏出,v,2
快要,d,1
搖晃,v,2
可野,v,1
飛魚,n,3
瘋,a,3
和,c,52
透,v,1
明滅,v,2
未知,v,7
真理,n,1
幼苗,n,1
海洋,ns,2
回憶,v,2
感到,v,1
美妙,a,5
萬千,m,1
不錯,a,6
完全,ad,2
就要,d,6
著,v,22
睡,v,10
因,p,4
事理,n,1
看見,v,27
永恆,z,7
成品,n,3
落下,v,6
消遣,v,3
時刻,n,3
寶貝,nr,28
溫涼,a,2
最,a,6
純然,d,2
一首歌,m,5
臉上,s,4
諷刺,v,3
最初,t,2
解釋,v,4
眠,vg,8
琢,v,3
也罷,y,2
來,v,33
安全,an,7
瘋,v,2
越來越,d,1
感受,v,1
寫,v,2
黑,a,3
只剩,v,2
詞,n,1
大旗,n,2
呢,y,1
回聲,v,1
是不是,l,6
安靜,a,4
一起,m,9
遺,vg,1
姿,ng,1
上帝,n,6
了,ul,131
國,zg,3
鼓勵,v,1
海水,n,6
習慣,n,7
地上,s,3
亂語,n,3
視線,n,1
著忘,v,3
哼著,v,2
概念,n,2
末,f,2
吹拂,v,1
也快,d,4
這麼,r,2
玩意,n,2
為,p,13
左右,m,7
不得已,d,2
生生死死,l,1
幹,v,6
萬物,n,2
長,a,2
蘋果,n,2
腳步,n,3
潔,ag,1
要,v,81
咬,v,5
何妨,r,4
神碎,a,3
實是,d,1
鬢,ng,1
瞭解,v,4
著遠,a,3
完美,a,1
被,p,31
表演,v,1
心肺,n,1
委屈,v,4
寶貝寶貝,nr,6
沒有,v,15
過在,t,2
惡,n,2
歌功頌德,i,2
一扇,m,1
心情,n,2
客串,n,6
這兒,r,2
乏味,a,1
開來,v,5
超脫,v,4
彼此,r,7
意思,n,2
與,p,23
額頭,n,2
烈烈,n,2
風潮,n,1
視,vg,6
靈魂,n,3
岸邊,s,2
試圖,v,1
甩,v,1
一抹,m,1
刁鑽,a,2
悼念,n,1
那麼地,r,6
轉著,v,2
偏,d,2
投身,n,2
玩偶,n,2
多少,m,5
造,v,2
粗曠,a,1
想想,v,4
出來,v,2
緣分,n,3
更,d,7
宿命,n,2
樂,a,6
著,n,3
輕輕地,z,3
間,m,5
搞,v,2
採要,v,1
夠,v,1
結論,n,1
倦,a,12
用,p,7
戲,n,2
實有,v,1
滅,v,2
全世界,n,4
夏天,t,1
寶貝寶,nr,2
甜甜,a,8
數次,m,4
遺憾,a,19
完完整整,z,3
慈悲,a,4
發生,v,4
陪,v,12
腰,n,1
真實,d,2
未來,t,2
僥倖,ad,6
就是,d,13
不妥,a,2
動人,n,1
完,v,7
剩剩,v,3
回事,v,2
愛,n,8
想而不問,l,2
扮著,v,2
遠邊,s,1
晾著,v,2
臉,n,17
苦心,n,2
交錯,v,1
手裡,s,1
凝視,v,2
巷口,s,5
心慌,a,3
相思,v,1
灑,v,1
寶貝孤,nr,4
替代,n,2
神奇,a,2
出,v,3
朝仰,n,1
太多,nrt,1
城市,ns,5
盪,v,2
口紅,n,2
記得,v,4
言,vg,1
最,d,14
放縱,v,2
說長,v,1
禍,n,14
夢想,n,1
總是,d,8
不必,d,4
修剪,v,1
夢,n,22
水冷,nr,1
確定,v,3
常,d,1
細膩,a,1
眾,ng,3
談論,vn,6
冷漠,n,6
極限,a,2
彎,v,2
兒,n,7
流動,vn,2
歷史,n,2
討人厭字間,i,2
橘子,n,1
旋,d,1
卸下,v,3
讓,v,50
一聲,m,2
清涼,a,1
不得,v,6
告別,v,8
土壤,n,2
灼,vg,2
有,v,65
最美,a,20
小,a,8
美,j,4
脖子,n,2
別人,r,1
迷人,n,1
隨,v,2
透心,v,1
可為,c,4
家,m,3
用心,n,1
雨聲,n,1
堅持,v,3
人敢,d,2
唯一,b,1
領悟,n,1
街,n,3
淚,n,5
大街,ns,2
相對,d,2
最快,d,2
再見,v,2
樂當,a,4
何等,r,2
困別,n,2
黃綠紅,nr,2
慾,yg,1
嘆息,v,1
心安理得,i,1
月,q,2
保留,v,1
雲煙,n,3
之中,r,4
此刻,r,6
房裡,s,2
那個,r,5
在,p,192
關於,nr,1
花,n,2
看著,v,1
去,v,52
快樂,n,2
著化,v,2
換,v,2
鳥,n,4
臉色,n,1
聲,q,1
緊張,a,1
眉梢,n,1
都,d,90
世界,n,11
暗自,d,2
喔,e,1
壯麗,a,2
嘩,vg,8
動沒,v,4
熱絡,n,1
哀傷,an,1
來說,u,3
毀,v,2
硬要,b,2
擊,vg,1
界,n,1
移動,vn,3
有別,d,2
哪,r,1
氣球,n,1
鹹,zg,6
卻,d,8
放心,v,1
誠實,a,1
靜謐,nr,1
袖手,n,2
辦畢,v,1
相濡以沫,i,1
有心,a,3
路上,s,6
唱,v,4
同意,d,1
地方,n,3
辭,v,1
摟著,v,2
藍天白雲,nr,6
戴,v,2
無悔,v,2
怕不怕,a,6
熱熱,a,2
應,v,1
想著,v,8
無聲,d,2
廢話,n,3
粗曠冷,i,1
散場,n,1
哭泣,v,2
不如,c,6
想,v,48
都城,ns,1
發,v,1
最好,a,2
需要,v,12
相似,v,7
兩年,m,2
溫柔,a,7
宣傳,vn,1
微笑,vn,2
顛反,v,1
山河,ns,2
規則,n,2
一家,m,2
嚴厲,ad,2
因而,c,2
共交織,nt,2
分別,d,5
旅人,n,2
嚼,v,4
好事,n,2
流,v,2
迂,a,1
等著,v,3
過去,v,2
藍天白,nr,1
喃喃,o,6
情緒,n,4
生命,vn,5
兩,zg,1
只,d,23
她,r,16
揭穿,v,1
花,v,4
歉疚,a,1
故事,n,13
搭配,v,1
舊,a,3
疲憊,a,5
專輯,n,3
再也,d,13
看,v,16
沈默,nr,13
種行,v,1
千千,m,1
動,v,2
有著,v,7
缺陷,v,1
真心,d,2
孤,ng,7
全,a,4
至,p,2
理解,v,1
空,v,1
前方,f,6
只,m,2
堂堂,n,1
把,p,28
