word,count
雙手,3
幻覺,4
驕傲,3
明確,1
怎麼,16
經不僅,2
還沒,1
一樣,12
錢,6
宣導,1
艷麗,2
河,2
出千萬花,2
然,1
養壞,3
吃不完,3
蔡頭,1
許多,2
邊界,1
渴能,1
暫化,4
尋常,2
遠,1
不疏,3
平安,4
不開,2
字然,2
歲,2
其,1
揣摩,2
掂,4
醜兒,2
個,13
為夠,1
外套,3
無,12
不問,2
成功,1
是,175
念頭,1
剝繭,2
姿態,2
不留,1
做過,1
造,2
何其,4
嗎,13
以便,1
也,108
懂不懂,10
大後看,1
經眼裡,12
播種,1
離今,3
無法,4
你雙,3
那種,2
前方,6
上,12
他們,1
悲劇,2
歡永恆,4
苦日子,5
我質疑,2
誘惑,2
主角,1
走走,3
一次,6
濕透,1
火神,1
彼時,2
穿越,2
得意忘形,3
覺得,27
日子,7
請離,1
白色,1
仁慈,3
任好,2
再費心,1
草野,1
依賴,2
牢,2
總笑,2
跳,2
該,7
雨,2
場難,1
奮力過,2
精采,3
明天,14
那麼,18
以來,3
想要,8
片段,4
活著,6
鬧,1
脫,1
並不總是,4
第一次,2
一段,6
美麗,1
今,2
前,9
沈沒前,10
髒,3
球路,1
相地,1
贈品,2
不理,4
不同,7
誤會,4
忍受,2
靠近,2
迴,2
記憶,3
鮮艷,1
不知,3
確厭,2
那天,8
說,74
再,9
看起,2
說給,2
羨慕,1
就,62
遇到,2
復,2
多困,1
偶爾搖晃,2
犧牲,2
鑰匙,1
重,1
之後看,2
饒,1
沈重,1
才能,6
雨裡,2
牠,7
難,6
東西,2
泥土,2
像是,2
成為,6
心樂,1
越,1
笑,19
常常,2
寶貝倦,12
放著,2
耕作,1
冰箱,2
介意,2
提苦惱,1
誰,32
侵略,2
部分,2
那首,2
當你去,1
手握,3
懂,9
全都,7
寶貝寶貝給,8
這般,1
卡,2
誤會給,1
歌名,5
遺言,2
盛放,2
兩個,2
多嘴,1
相,3
好,27
先鬧,3
什麼,33
最憂愁,2
狼狽,1
或,5
經以,4
花,4
悲傷,13
每天,2
同一,1
這種,1
盪記憶裡,1
蟬蟬,1
爭奪,1
冷,1
事物,2
沒察覺,2
佈,2
噎,3
痛快,1
巴掌,1
懂得,2
成全,3
他剛,2
機會,5
寫下,2
應該,9
眼淚,6
那顆,1
昏送,2
日夜,2
我安,6
某個,1
寶貝要,10
種,1
會,23
複,1
公車,1
場合,2
某部,4
非愛你,1
大,7
手把,3
許,4
事兒,2
揀,5
昏暗,4
歌唱,2
盡情,1
太難過,2
最難,4
上空,2
青春,2
消長,2
話,12
無數次,4
十二,1
聊遍,1
穿梭,1
地飄灑,1
思考,3
真的,34
乾燥,1
不出,2
風揚,1
起來,2
那,23
地搖晃,3
感傷,1
天上,3
富江,1
和諧,2
心泛,1
同時,5
很久以前,2
胡言,3
理想,4
句,2
真相,1
不再,12
快樂當,4
失落,4
結果,2
裡我,4
當,1
勝天,2
痛徹,1
眾人,8
霍,5
會痛,1
抱歉,2
一些,1
字關,1
天,7
企業,2
結束,1
答案,4
撫觸,1
火什麼,6
沒變,1
天份,1
久居,1
胡說,2
其中,1
想法,4
偷偷,1
不然,5
原始,2
高處,1
給限,1
眉梢,1
它本,2
扯,1
一件,4
我將,2
方向,6
合不來,2
晾,2
─,1
唱腔,1
擁有,19
開,1
還要,6
全在,4
寂寞,27
綻,2
刺,2
擁,3
時,5
反正,3
身上,7
開花,2
魔,2
逃脫,1
我,555
過程,3
阻止,3
分寸,2
想起,8
走,21
心跳,2
代表,1
翅膀,4
少,1
我給,4
沒說,4
別,12
河水,1
不過,4
土地,3
躲,2
最傷,1
併,1
總,6
討好,1
浮生,1
拋空,3
意足,2
畫面,2
離,12
阿成,1
光彩,3
怯場,1
時才,2
不可,2
變成,1
同,6
狗狗,2
地來,1
熱烈,6
這場面,1
安靜,5
無言,2
迷戀,2
漂亮,2
太,1
人要,4
肯,1
我點,2
痛苦,2
這張,1
但,26
感動,6
像,15
美好,6
眼裡,2
相傳,1
不去,6
深深,1
畢,5
盤旋,1
你過,2
精雕,3
遊戲,4
現下,2
心滿,2
甩過,1
字眼,4
落下,6
掏出,2
快要,1
來,35
飛魚,4
瘋,5
和,50
透,1
未知,7
真理,1
幼苗,1
海洋,2
回憶,2
感到,1
美妙,5
獨白勝過,6
歡氣,1
萬千,1
不錯,6
完全,2
就要,6
貪循,1
溫柔別,1
睡,4
因,4
事理,1
車活,1
看見,6
永恆,1
揮,5
成品,3
消遣,3
出,6
寶貝,12
溫涼,2
最,14
抱後瞬間,1
純然,2
一首歌,5
臉上,2
諷刺,3
愛我喜,2
解釋,4
安全,7
我心,1
永恆歲,2
思念,2
感受,1
寫,2
黑,1
還比,1
詞,1
大旗,2
呢,1
