word,attribute,count
的,uj,802
我,r,610
你,r,565
在,p,192
是,v,189
不,d,163
了,ul,133
也,d,99
都,d,90
要,v,84
說,v,75
愛,v,75
我們,r,69
就,d,64
而,c,64
有,v,62
讓,v,62
去,v,56
人,n,56
這,r,49
和,c,49
,x,47
想,v,45
後,nr,45
知道,v,44
什麼,r,42
好,a,41
過,ug,41
啦,y,41
會,v,40
還,d,39
不是,c,37
喜歡,v,35
真的,d,34
於,nr,34
所有,b,33
啊,y,33
寶貝,n,32
裡,f,32
他,r,31
瘋狂,a,30
又,d,30
那,r,28
把,p,28
生活,vn,28
誰,r,27
寂寞,a,27
看見,v,27
被,p,27
但,c,26
來,v,26
對,p,26
如何,r,26
不要,df,26
沒,d,26
地,uv,25
覺得,v,24
擁抱,v,24
著,v,24
吧,y,24
自己,r,24
呀呀,y,24
多,m,24
只,d,23
呀,y,23
得,ud,23
與,p,22
夢,n,22
笑,v,21
咿呀,o,21
最美,a,20
很,d,20
時候,n,20
可以,c,20
走,v,19
擁有,v,19
像,v,19
遺憾,a,19
才,d,19
危險,an,19
曾,d,19
怎麼,r,18
只是,c,18
小鬼,n,18
給,p,18
為,p,17
沒有,v,17
臉,n,17
火,n,17
不能,v,17
並,c,17
沈,nr,16
上,f,16
她,r,16
愛人,n,16
聽,v,16
最,d,15
討人厭,i,15
那樣,r,15
看,v,15
大家,n,15
如此,c,15
明天,t,14
眼裡,s,14
明白,nr,14
只有,c,14
今天,t,14
失去,v,14
留下,v,14
孤單,a,14
它,r,14
嗎,y,13
經,p,13
悲傷,a,13
就是,d,13
們,k,13
禍,n,13
再也,d,13
沈默,nr,13
中,f,13
故事,n,13
其實,d,13
事情,n,13
如果,c,13
可,v,13
已,d,13
做,v,13
當,p,13
嫁,v,13
一直,d,13
有些,r,13
有人,r,13
回頭,v,13
再,d,12
世紀,n,12
有個,r,12
不再,d,12
天,q,12
那麼,r,12
別,d,12
倦,a,12
陪,v,12
需要,v,12
曾經,d,12
制約,v,12
清醒,a,12
模樣,n,12
眼神,n,12
字,n,12
一個,m,12
制約,n,12
相視,v,12
難,a,11
懂,v,11
快樂,a,11
世界,n,11
從,p,11
等,u,11
一切,r,11
所以,c,11
已經,d,11
以,p,11
玫瑰色,n,11
人生,n,11
能,v,11
自由,a,11
開始,v,11
一樣,u,10
懂不懂,v,10
該,r,10
睡,v,10
告別,v,10
感覺,v,10
撲,v,10
哇啦,o,10
渴望,v,10
今夜,t,10
手,n,10
不停,d,10
一點,m,10
等待,v,10
如,v,10
可能,v,10
心,n,10
因為,c,10
總是,d,10
沒前,v,10
現在,t,10
快,a,10
前,f,9
一起,m,9
不安,a,9
發現,v,9
散落,v,9
壞,a,9
忘,v,9
必須,d,9
一瞬,t,9
經過,p,9
事,n,9
多麼,r,9
之,u,9
無,v,8
想要,v,8
活著,v,8
那天,r,8
傷,v,8
大,a,8
話,n,8
吶,y,8
想起,v,8
眠,vg,8
樂,a,8
甜甜,a,8
唉呀,i,8
寶,n,8
卻,d,8
想著,v,8
貝寶貝,nr,8
一種,m,8
這樣,r,8
與,zg,8
哎呀呀,y,8
出口,vn,8
錯,v,8
親吻,n,8
間,f,8
一片,m,8
賣,v,8
見,v,8
嘩啦啦啦啦啦,o,8
好好,d,8
然,r,7
日子,n,7
有著,v,7
不同,a,7
總,b,7
成為,v,7
全都,n,7
身上,s,7
安靜,a,7
永恆,z,7
安全,an,7
習慣,n,7
左右,m,7
彼此,r,7
用,p,7
完,v,7
．,x,7
兒,n,7
小,a,7
相似,v,7
溫柔,a,7
何必,d,7
陽光,n,7
帶,v,7
艷,a,7
未知,v,7
比較,d,7
樣子,n,7
享受,v,7
成,v,7
請,v,7
可惜,v,7
先,d,7
離去,v,7
覺,v,7
往,p,7
錢,n,6
前方,f,6
一次,m,6
一段,m,6
才能,v,6
應該,v,6
眼淚,n,6
酷,d,6
聽見,v,6
方向,n,6
時,ng,6
同,p,6
熱烈,a,6
感動,v,6
美好,a,6
牠,yg,6
不錯,a,6
就要,d,6
著,n,6
因,p,6
落下,v,6
是不是,l,6
上帝,n,6
海水,n,6
幹,v,6
客串,n,6
那麼地,r,6
更,d,6
僥倖,ad,6
談論,v,6
冷漠,n,6
不如,c,6
不得,v,6
美,j,6
此刻,r,6
來說,u,6
路上,s,6
唱,v,6
藍天白雲,nr,6
怕不怕,a,6
喃喃,o,6
掉,v,6
張望,v,6
南國,ns,6
汗,n,6
眷戀,v,6
珍惜,a,6
勝利,vn,6
濕,a,6
輕,a,6
順其,d,6
這裡,r,6
鬆,zg,6
燦爛,a,6
新,a,6
告訴,v,6
存在,v,6
終將,d,6
如此而已,i,6
死,v,6
逃避,v,6
舒服,a,6
不想,v,6
活,v,6
捏,v,6
安,v,6
將,d,6
所有人,n,6
整個,b,6
來的,u,6
原諒,v,6
一刻,m,6
插,v,6
分不清,l,6
遙遠,a,6
願意,v,6
自然,d,6
塗,v,6
一無,i,6
信任,n,6
孩子,n,6
恨,v,6
慚愧,a,6
嗜,vg,6
眼前,t,6
提好,v,6
嘛,y,6
怕,v,6
窮,a,6
以為,c,6
眼光,n,6
苦日子,n,5
誤會,n,5
歌名,n,5
或,c,5
花,v,5
機會,n,5
揀,v,5
眾人,n,5
不然,c,5
