word,attribute,count
雙手,n,13
精選集,n,2
唱著,v,21
三點,m,9
算式,n,2
幻覺,n,6
退退,v,2
驕傲,a,7
關了,p,2
怎麼,r,40
一樣,d,4
濁酒,n,1
錢,n,2
宣導,vn,2
遺棄,v,2
淡,a,3
般,u,10
零落,n,1
河,n,3
人生,n,4
包裹,v,3
察,j,2
親手,d,30
窗簾,n,2
水管,n,1
員,q,2
包袋,n,2
牛紙,n,1
許多,m,32
邊界,n,11
孫詩雯,nr,3
翻譯,v,3
題,v,2
五點,m,2
遠,a,24
不同,a,5
變幻莫測,i,1
上移,v,2
心裡,s,14
錯誤,n,6
貓,n,2
不開,v,4
樓上,s,2
泳,vg,2
歲,m,1
閃爍其詞,i,3
看輕,v,8
其,r,3
曲培芷,nr,3
徹底,ad,18
愁,v,2
綿綿,z,1
揣摩,v,1
快來,d,1
晚上,t,16
星期二,t,5
個,zg,6
入睡,v,2
話語,n,6
漸漸,d,2
不,n,11
夢話,n,3
鐘,zg,14
眼中,s,4
關上,s,9
一關上,l,2
畫框,n,1
無,v,9
絕望,v,9
走,n,8
公路,n,2
三年,m,1
是,v,546
擁抱,v,62
往常,d,5
不留,v,3
香水,ns,3
最疼,a,4
高手,n,2
短片,n,2
一樣,u,23
發皺,n,2
不用,v,3
嗎,x,1
心跳,v,2
眼底,t,4
唇齒,n,2
容許,v,3
也,d,250
從容,v,18
艾,nr,7
遲到,v,5
看來,v,9
收集,v,1
漫漫,a,12
愛妻,n,1
變蓮,n,1
無法,d,6
滴,v,2
場面,n,2
不甘,v,2
女朋友,n,2
擔,v,2
安靜,a,18
小元,n,1
心要,a,16
上,f,83
快不,d,2
親吻,n,1
他們,r,29
經,p,2
悲劇,n,1
術頭,n,1
一來,d,14
小心翼翼,i,11
誘惑,v,3
童話,n,6
可笑,v,3
純真,a,4
一次,m,39
藍儂,nr,1
右耳,n,2
伸長,v,2
太重,n,2
穿越,v,4
斯特,nrt,1
多一點,m,33
星座,n,3
鮮花,n,2
妻,ng,1
覺得,v,14
媽,n,4
日子,n,10
無可救藥,i,6
漆黑,z,4
有力,n,14
白色,n,6
釋,v,3
熄滅,v,3
逝留,v,1
風握,v,2
分心,v,19
唐詩,nr,2
乘著,v,3
安心,v,2
依賴,v,5
看清,v,9
一步,m,31
而過,c,18
啞巴,n,2
掩埋,v,7
該,x,14
欣賞,v,31
普普通通,nz,2
精采,v,2
老,a,2
明天,t,24
中濃,nz,4
四號,m,2
這,zg,15
風景,n,6
想要,v,27
吹來,v,2
名片,n,2
邊,d,2
清晨,t,6
鬧,v,3
脫,v,4
預料,v,6
第一次,m,3
流失,v,5
課,n,2
吹,v,8
頭淚,n,2
靜靜,z,36
美麗,a,42
滿滿,v,3
詛咒,v,3
拂,v,1
穿起,v,2
今,tg,3
前,f,9
哎,e,3
保羅,nrt,2
髒,y,5
奶茶,n,3
胖,a,1
台上,s,2
寫出,v,2
受不了,l,4
賞,v,1
善良,a,4
格永恆,nr,2
襯衫,n,5
編,v,1
適合,v,18
忍受,v,2
靠近,v,40
迴,yg,2
連結,a,3
記憶,n,21
責任,n,6
彿,zg,3
說,zg,5
飛翔,v,13
依依,z,1
再,d,144
