word,count
的,8019
我,5066
你,4454
在,2140
了,1505
是,1125
不,814
說,776
有,763
讓,714
都,702
也,696
我們,491
著,484
就,464
什麼,429
自己,416
來,401
想,392
誰,390
看,370
和,348
沒,346
要,335
他,333
一個,331
被,330
對,318
為,299
像,299
啦,285
卻,285
世界,284
後,251
而,242
又,241
人,238
去,237
這,233
夢,230
再,227
走,224
不要,222
知道,218
上,204
聽,204
喔,202
多,202
得,197
離開,197
那,192
會,189
到,187
時間,186
好,183
它,183
時候,181
所有,178
不會,176
只是,176
因為,174
從,168
心,161
中,156
手,156
愛,156
把,155
不是,154
只,147
寂寞,146
這樣,145
該,145
她,142
生活,138
還有,138
於,138
怎麼,136
曾,135
與,135
地,127
很,124
沒有,123
還是,123
就算,121
見,115
臉,115
帶,113
唱,113
才,113
生命,111
如果,111
就是,110
不出,110
下,109
長,108
嗎,108
今天,108
話,108
一點,108
已,107
需要,106
如何,106
跟,105
最,105
相信,104
溫柔,103
太,102
失去,101
找,100
天空,98
那麼,98
一起,98
這裡,96
一,95
等,95
真的,94
間,93
不能,93
躲,93
可能,92
城市,92
無,90
是否,89
一片,88
喜歡,87
起,86
更,85
寫,85
一切,85
但,85
快樂,84
一天,84
做,83
能,83
變成,83
一些,82
每,82
飛,81
出,81
多少,80
眼淚,79
發現,78
個,77
用,77
瘋狂,77
其實,76
不見,76
陪,76
告訴,76
回家,75
曾經,75
身邊,75
懂,73
沈默,73
整個,73
改變,72
若,72
啊,72
一樣,71
吧,71
眼睛,71
美麗,70
可以,70
全都,69
想要,69
靜靜,69
自由,68
笑,68
擁抱,68
一瞬,67
是不是,67
越,66
太多,66
忘,66
一直,66
一種,65
雨,65
美好,64
不想,64
猜,64
開始,64
或,63
黃,63
呀,63
這麼,63
沈,62
別,62
睡,62
一秒,62
語言,61
房間,61
請,61
快,60
就要,60
早已,60
害怕,60
愛我,60
希望,59
幻想,59
愛情,59
不了,59
遠,58
月,58
只有,57
明天,57
思念,57
走過,57
原因,57
擁有,57
表情,56
覺得,56
一次,55
總,55
以,55
比,55
怕,55
不再,55
這個,54
繼續,54
髮,54
懶,54
所以,54
追,53
昨天,53
宇宙,53
路,53
慢慢,52
無法,52
隻,52
一首歌,51
記憶,51
可是,51
翅膀,50
好想你,50
鬆,50
人生,50
真心,49
回憶,49
渴望,49
前,49
哪,49
還在,49
呢,48
心裡,48
感覺,48
心中,48
也許,47
可,47
哎,47
得到,47
故事,47
盡,46
慾,46
靠近,46
像是,46
開,46
他們,46
之間,46
悲傷,45
有人,45
愛著,45
簡單,45
牽,45
小,45
澱,45
如此,45
未來,45
情緒,45
夜,45
日子,44
住,44
難,44
賣,44
不管,44
愛的,44
望,44
一步,43
明白,43
不願,43
眼神,43
夜晚,43
下午,43
冬天,43
花,42
之前,42
哪裡,42
我要,42
享受,42
盡頭,42
蔓延,42
影子,42
街,41
