word,count
的,9485
我,6657
你,5542
在,2645
了,1795
是,1417
說,1028
有,990
不,944
讓,881
都,852
也,838
就,708
著,650
我們,636
來,600
,560
什麼,535
想,524
對,498
看,485
誰,481
要,477
自己,453
啦,452
他,432
沒,431
和,409
一個,408
像,407
被,369
世界,368
為,358
不要,356
走,326
知道,325
再,323
後,307
去,306
卻,306
人,304
這,303
會,300
好,296
又,296
聽,279
時候,266
夢,263
多,257
怎麼,257
而,253
得,250
到,245
不是,244
喔,241
那,241
上,231
寂寞,226
不會,224
愛,215
時間,213
所有,208
因為,207
離開,205
把,204
生活,203
它,203
很,198
今天,198
只,195
從,194
見,186
只是,184
心,183
手,180
最,178
中,177
該,176
還是,173
沒有,170
真的,169
這樣,167
需要,166
就是,163
就算,161
還有,160
一起,158
才,155
話,153
她,152
如果,152
唱,151
這裡,151
嗎,147
想要,147
地,146
跟,145
於,144
曾,143
與,142
喜歡,141
發現,137
睡,137
一樣,135
不能,133
下,132
能,130
一點,129
吧,128
找,124
溫柔,124
已,124
長,123
天空,122
那麼,121
不出,121
帶,120
相信,119
身邊,119
臉,118
生命,117
變成,117
飛,117
一天,116
太,115
一,115
做,114
城市,114
一直,113
失去,112
可能,112
陪,112
用,111
吃,109
如何,108
請,107
自由,106
個,106
笑,106
可以,106
快樂,105
每,105
只有,104
起,104
整個,104
一些,103
不見,103
懂,102
希望,102
眼淚,102
無,100
間,100
但,100
早餐,100
眼睛,99
是否,99
等,98
改變,97
一切,97
躲,97
告訴,97
寫,96
美麗,95
是不是,94
不想,94
一次,93
更,91
一片,91
出,91
總,90
愛情,90
繼續,89
明天,89
其實,87
擁抱,87
決定,87
多少,86
猜,86
曾經,85
吹,84
所以,84
瘋狂,84
看到,83
黃,81
流下,81
這麼,81
一種,80
呀,79
哪裡,79
回家,78
美好,78
害怕,78
啊,77
雨,76
口水,76
遠,75
慢慢,75
別,75
若,75
沈默,73
阿,73
不管,73
每天,73
朋友,72
開始,72
太多,71
忘,71
到底,71
明白,70
開,70
全都,69
夏天,69
靜靜,69
房間,68
一定,68
宇宙,68
擁有,68
或,67
一瞬,67
覺得,67
一秒,67
越,66
快,66
就要,66
昨天,66
比,66
愛我,66
聲音,65
太陽,65
這個,64
追,64
永遠,64
走過,64
月,64
呢,63
沈,62
早已,62
以,62
怕,62
一步,61
消失,61
語言,61
大,61
路,61
愛的,61
不了,61
悲傷,60
之前,60
七天,60
我會,60
無法,60
還在,60
也許,59
幻想,59
髮,59
原因,59
過去,59
只能,59
這是,59
表情,58
隻,58
可不可以,57
能夠,57
呼呼,57
思念,57
人生,57
不再,57
故事,57
感覺,56
鬆,56
得到,56
小,55
微笑,55
前,55
我要,55
努力,55
翅膀,54
一首歌,54
盡,54
靠近,54
像是,54
他們,54
懶,54
那個,53
難,53
哪,53
好像,53
住,52
用力,52
不到,52
可,51
記憶,51
機會,51
渴望,51
等待,51
拉拉,51
可是,51
未來,51
新,51
之間,51
答答,51
那些,50
心裡,50
好想你,50
壞,50
如此,50
冬天,50
面對,50
真心,49
記得,49
回憶,49
危險,49
脆弱,49
蝴蝶,49
享受,49
歌唱,49
歐,49
放棄,48
雙手,48
起來,48
看見,48
大雨,48
熟悉,48
心中,48
盡頭,48
只要,48
街,47
掉,47
有人,47
哎,47
簡單,47
咖啡,47
妳,47
已經,47
鐵金剛,46
全世界,46
歌,46
慾,46
再給,46
愛人,46
應該,46
情緒,46
一首,46
愛著,45
瞭解,45
牽,45
澱,45
下午,45
望,45
夜,45
值得,45
日子,44
想像,44
眼前,44
賣,44
一口,44
你給,44
不願,43
眼神,43
夜晚,43
煩惱,43
哭,43
結果,43
黑暗,43
昏,42
之,42
花,42
