word,count
的,9693
我,8035
你,5751
在,2792
了,1835
是,1683
有,1620
不,1598
一,1396
著,1390
來,1232
這,1175
麼,1156
說,1116
愛,1062
會,992
個,968
也,943
讓,910
過,907
裡,876
沒,857
都,824
還,795
時,783
們,776
開,761
就,722
人,684
間,676
為,660
無,657
看,636
什,630
想,619
對,606
要,570
那,564
心,561
後,560
,541
他,510
誰,489
樣,485
點,481
夢,472
自己,459
像,457
啦,455
得,437
和,435
見,432
世界,428
去,421
給,421
手,419
離,402
走,397
風,384
被,384
好,369
邊,358
不要,356
再,355
變,349
別,347
不是,344
知道,338
聽,338
遠,337
飛,335
現,333
怎,325
靜,319
卻,315
頭,314
又,313
地,305
成,305
候,304
太,301
傷,297
從,291
情,286
經,284
氣,284
樂,283
話,282
快,279
聲,279
眼,277
而,274
多,274
能,273
發,272
最,270
上,269
該,269
動,268
當,267
許,261
面,257
到,248
覺,243
中,242
喔,241
身,237
長,235
它,234
歡,233
曾,233
寂寞,231
只,231
下,231
因,229
溫,227
擁,227
輕,227
記,219
所有,216
陽,213
種,212
出,208
實,207
光,205
把,205
生活,203
已,202
願,200
今天,198
永,196
回,196
起,194
才,194
轉,190
很,190
場,189
放,187
狂,185
大,185
只是,184
臉,184
淚,184
喜,183
找,181
每,181
天,180
總,179
柔,178
帶,176
以,175
用,174
抱,172
麗,171
夜,170
真的,169
線,169
之,168
美,168
沈,167
需要,166
空,163
就是,163
可以,163
睡,161
就算,161
雨,160
哪,160
問,158
錯,158
一起,158
熱,155
於,155
滿,153
唱,153
她,152
如果,152
想要,150
不可,149
單,148
嗎,148
跟,148
憶,148
笑,148
機,147
然,147
不知,146
落,146
做,145
難,145
不能,145
夠,145
定,145
音,144
與,142
進,141
小,141
電,140
越,138
瘋,136
言,136
請,136
花,136
吧,135
結,134
不出,134
告,134
盡,133
決,132
應,130
歌,129
緊,124
太多,123
視,123
一天,123
天空,122
續,122
節,121
強,120
語,119
法,119
隨,119
相信,119
自由,118
雙,118
,117
生命,117
或,116
改,116
望,116
寫,115
忘,115
阿,115
陪,115
藍,115
親,114
城市,114
一直,113
比,113
獨,113
失去,112
將,112
可能,112
訴,112
整,112
懂,111
牽,110
一些,109
作,109
色,109
吹,108
白,108
鐘,108
謝,108
如何,108
其,107
始,107
畫,107
子,106
吃,106
習,105
雲,105
孤,105
一次,104
腳,104
解,104
只有,104
希望,102
是否,102
張,101
揮,101
意,100
躲,100
紅,100
但,100
早餐,100
一首,100
眼睛,99
火,99
剛,98
醒,97
一切,97
煙,97
不想,96
流,96
等,96
一片,95
繼,95
亂,95
幾,94
是不是,94
多少,94
換,93
路,93
兩,93
不了,93
未,92
明,92
細,92
打,92
魚,92
絕,92
口,92
感,92
懷,91
留,91
呀,90
明天,89
遊,89
同,89
活,89
車,89
黃,88
新,87
閉,86
水,85
險,85
可不,85
更,84
悲,84
所以,84
裝,84
看到,83
並,83
關,83
條,83
答答,83
歐,82
閃,82
重,82
念,82
數,82
海,82
可,81
追,81
原,81
安,81
棄,81
賴,81
學,81
流下,81
自,80
虛,80
仔,80
靈,80
猜,79
房,79
一秒,78
斷,78
回家,78
終,78
戀,78
美好,78
害怕,78
敵,77
合,77
壞,76
葉,76
朋友,76
處,76
樹,76
圖,76
前,76
煩,76
口水,76
鐵,76
慢慢,75
住,75
分,75
交,75
每天,75
啊,75
咖啡,74
水流,74
飄,74
怕,74
鬧,73
沈默,73
果,73
藏,73
漸,73
萬,73
不管,73
真,73
緒,71
首歌,71
到底,71
不到,71
暫,70
明白,70
體,70
簡,70
金,70
如,70
燈,70
戲,70
不住,70
一步,69
全都,69
夏天,69
昨天,69
寶,69
旋,69
行,69
聰,68
一定,68
宇宙,68
隱,68
呢,67
一瞬,67
就要,66
恆,66
月,66
約,66
義,65
惡,64
顆,64
呀呀,64
飆,63
貝,62
掉,62
早已,62
景,62
街,62
玫瑰,62
消失,61
賣,61
懶,61
遺,61
所,60
護,60
之前,60
七天,60
相,59
耳,59
幻想,59
髮,59
原因,59
方,59
人生,59
題,59
只能,59
堅,59
家,58
像是,58
表情,58
門,58
哭,58
停,58
媽,58
隻,58
呼,58
可不可以,57
尋,57
微笑,57
呼呼,57
魂,57
思念,57
嗚,57
充,57
不再,57
故事,57
得到,56
危,56
背,56
持,56
鬆,56
擺,56
討,56
如此,56
瞬,56
涼,56
有人,55
老,55
遙,55
謂,55
努力,55
低,55
陣,55
純,55
圍,55
不好,55
島,55
悔,55
爛,55
伊,54
翅膀,54
一首歌,54
完,54
靠近,54
聊,54
送,54
破,54
蝴蝶,54
淺,54
練,53
園,53
好像,53
跡,53
些,52
昏,52
蓋,52
微,52
用力,52
濕,52
年,52
回到,51
渴望,51
等待,51
窗,51
拉拉,51
可是,51
心中,51
若,51
恨,51
紀,51
賞,50
跳,50
奏,50
散,50
那些,50
任,50
渦,50
選,50
好想你,50
冬天,50
惱,50
欣,50
日子,49
講,49
真心,49
殘,49
塵,49
化,49
墜,49
一句,49
脆弱,49
驚,49
歌唱,49
透,49
容,49
享受,49
境,49
日,48
剩,48
載,48
忙,48
大雨,48
熟悉,48
星星,48
值得,48
紛,48
認,48
只要,48
勇敢,47
往,47
哎,47
一口,47
直到,47
某,47
腦,47
鳥,47
吉他,47
厭,47
慾,46
冷,46
舉,46
妳,46
全世界,46
養,46
距,46
逃,46
須,45
店,45
痕,45
神,45
諾,45
模,45
澱,45
論,45
黑,45
瞭,45
憂,45
穿,45
下午,45
灑,45
兒,45
亮,44
想像,44
慣,44
眼前,44
響,44
備,44
不如,44
香,43
哩,43
夜晚,43
詞,43
暖,43
眼神,43
天都,43
黑暗,43
往前,43
擱,43
玩,43
輪,43
受,43
搖,42
浮,42
脫,42
馬,42
漩,42
準,42
月亮,42
不在,42
蔓延,42
死,42
影子,42
睜,42
預,41
計,41
絲,41
必,41
國,41
內,41
曠,41
忽,41
海洋,41
味,41
好多,41
鮮,41
清晨,41
鏡,41
完美,41
包,41
黑夜,41
連,40
美的,40
在乎,40
底,40
東,40
浪,40
際,40
先,40
度,40
你好,40
很多,40
那天,39
雨水,39
再也,39
阮,39
哭泣,39
再多,39
才能,39
保,39
確,39
痛,39
字,39
撐,39
想起,39
忽然,39
臨,39
徹,39
遲,39
燒,38
雖,38
嘴,38
心情,38
不曾,38
躺,38
錢,38
存在,38
短,38
哀,38
生,38
醉,38
我心,37
麥,37
最美,37
停下,37
艷,37
耶,37
勉,37
站,37
辦,37
天然,37
運,37
幽默,37
擔,37
高,37
髒,37
息,37
誤,37
河,36
幹,36
笑容,36
肩,36
嘆,36
晚,36
霍,36
若是,36
適,36
上眼,36
鎖,36
停止,36
傳,36
混,36
定要,36
足,36
一般,36
趕,36
屬,36
歲,35
天使,35
答,35
天地,35
乾,35
一座,35
小心,35
箏,35
專,35
不怕,35
坐在,35
孩子,35
嘛,35
寧,35
三,35
控制,35
清楚,35
諒,35
費,35
縮,35
期待,35
爸爸,34
握,34
想念,34
假,34
特,34
唯一,34
彈,34
角落,34
不用,34
華,34
孤寂,34
攤,34
般的,34
勇,34
力量,34
深,34
想一想,34
不安,34
彩虹,34
闊,34
走到,34
左右,33
疑,33
喧,33
書,33
西,33
陌生,33
飾,33
痛快,33
天真,33
好不好,33
丟,33
幻,33
試,33
代替,33
買,33
深深,32
天堂,32
晚上,32
戰,32
算,32
寬,32
累,32
星空,32
揚,32
漂浮,32
未知,32
沙,32
手中,32
豔,32
一面,32
地球,32
倒,31
突然,31
衝,31
滅,31
只好,31
最好,31
臟,31
繞,31
吵,31
保留,31
制,31
價,31
冒,31
留下,31
挑,31
烈,31
喝,31
不停,31
刻,31
調,31
哈哈,31
捨,31
女孩,31
底里,30
思,30
綠,30
慶,30
縱,30
光芒,30
力,30
輯,30
事情,30
拉,30
幸福,30
禮,30
廓,30
午夜,30
舊,30
通通,30
不敢,30
祝,30
流浪,30
不掉,30
縫,30
歇斯底里,30
劃,30
葬送,30
片刻,30
迷失,30
撫,29
白天,29
盤,29
穿越,29
身上,29
逝去,29
向前,29
便,29
蕩,29
台,29
