word,attribute,count
雙手,n,10
孩能,n,2
唱著,v,14
三點,m,16
如同,d,4
幻覺,n,2
一言,u,5
驕傲,a,8
包裝,v,2
安穩,a,4
創意,v,4
怎麼,r,70
吵想,v,2
實現,v,6
一記,m,7
鎖,v,6
拜見,v,3
蛋殼,n,2
這天,r,1
一樣,u,24
錢,n,8
亦,d,6
沿著,v,7
體溫,n,2
盡遊,f,8
焦距,n,4
作,n,6
向右看,nr,6
河,n,5
王子,nr,2
包裹,v,1
渴,v,2
然,r,45
停止使用,i,5
實不,d,13
不痛,a,4
高超,nr,5
蛋黃,n,2
相隨,v,6
吃不完,v,2
令人窒息,vn,2
插花,n,2
嚥,zg,2
似曾,d,2
舉動,v,4
變身,v,3
妖嬌,v,2
籬下,n,4
無關想無,l,2
邊界,n,2
絲,n,12
正常,d,4
風交,n,2
全副,m,4
苗,n,2
摘,v,3
儀電吉手家,nz,1
可言,v,2
翻譯,v,1
哄哄,v,4
現,tg,15
凡,d,6
遠,zg,9
身,ng,4
右腿,n,4
同流,n,2
心裡,s,40
罪,n,21
揭,v,2
作弄,v,4
咖啡店,n,2
埋下,v,2
歲,m,19
雪白,z,5
其,r,15
許天,m,4
妖魔,n,5
躁動,v,2
接近,v,5
千年,m,4
愁,v,8
仔,ng,1
傷心,v,2
態度,n,4
第一,m,4
紛紛,d,4
沈,nr,44
個,q,39
入睡,v,6
聞,v,6
溝通,v,4
興高採烈,i,2
漸漸,d,11
粉刷,v,3
酣聲,d,5
貧窮,an,3
儘,zg,5
離人,n,2
下度,n,11
無,v,75
全力,n,1
根秋,n,2
傀儡,n,2
遇,v,1
絕望,v,9
大成,v,3
試煉,v,4
抓著,v,6
成功,a,5
是,v,538
念頭,n,3
雨聲,n,4
欺瞞,v,4
蹲,v,4
魚缸,n,2
頻率,n,10
往常,d,6
黑玫瑰,nr,2
不留,v,4
油漆未乾,i,4
關了,p,8
一樣,r,6
運,v,2
心血,n,2
不用,v,2
化做,v,3
嗎,y,43
饑,zg,2
適用,v,1
扛走,v,3
忘神,v,6
花生,n,1
腸,x,5
教,v,10
或者,c,6
惡人,n,2
真知,n,2
也,d,356
紫夜,n,4
艾,nr,1
腳邊,f,5
盤,q,13
收集,v,4
過往,t,4
碎裂,v,9
以來,f,4
衝,x,1
噓,e,3
未免太,n,2
遺棄,v,4
