word,count
雙手,13
孩能,2
即興,2
唱著,12
三點,16
如同,4
將心靈,4
一陣雨配,2
沒人能,32
一言,6
大夢夜,4
驕傲,4
包裝,2
創意,4
西風景,4
怎麼,80
龐快,4
一記,7
拆穿,3
啟動,2
拜見,3
解放,2
這天,1
一樣,30
錢,4
哭管,2
亦,6
沿著,7
體溫,2
雲穿,3
鐘晦,10
焦距,4
作,5
向右看,6
河,3
天邊,5
包裹,1
渴,2
幻覺,2
停止使用,5
不痛,4
好舊,6
高超,5
聽大聲,4
吃不完,2
令人窒息,2
插花,2
似曾,2
舉動,4
變身,3
反,3
釣,4
邊界,2
正常,4
擋,4
全副,4
苗,2
游泳,3
可言,2
翻譯,1
現,1
升起,2
遠,28
柔情,3
右腿,4
同流,2
心裡,29
錯誤,7
陰霾,4
作弄,4
狂親,2
咖啡店,2
歲,17
雪白,5
弧線,2
許天,4
妖魔,5
發鮮艷,1
接近,5
千年,4
愁,7
仔,1
過公園,3
第一,4
紛紛,3
沈,34
個,39
入睡,6
涅槃,2
溝通,4
漸漸,11
暑能,2
寵愛多,4
鐘,2
鳥,7
貧窮,3
惡夢,4
眨眼,2
離人,2
下度,11
無,46
全力,1
傀儡,2
假,2
絕望,8
見心,5
將現,3
試煉,4
抓著,6
成功,5
是,447
狼煙,4
念頭,3
別以,2
太過,5
蹲,4
魚缸,2
不得,9
剝離,7
往常,6
黑玫瑰,2
不留,4
油漆未乾,4
相愛又離合,2
不病,8
做過,4
痊,2
衝,4
數手,2
香菇,1
青東,4
心血,2
面是,2
不用,2
窮奢極,3
嗎,43
饑,2
適用,1
驚嘆轉,1
扛走,3
忘神,6
花生,1
可站,4
起點,7
教,4
歐歐歐,2
外濟目,1
也,350
紫夜,4
一人過,2
遲到,17
盤,5
收集,4
過往,4
臨盆,4
開有,3
要試,1
腸了,5
殿堂,2
未免太,2
遺棄,4
無法,27
滴,4
身段,3
艱苦,6
頭中充,5
揭發,4
動未來,3
且,4
不甘,2
對講,4
過得,2
毋管,1
盡遊,8
安靜,6
顛無處,3
人身,3
浩翰,1
婦人,4
上,117
詩登,2
飄散,10
瘋癲耶耶,1
亢奮,5
悲劇,4
底,2
綠出,2
輪廓,28
冬瓜,1
齊發,4
純真,6
跌落,2
一次,10
嚥,23
響徹,6
鴨,4
賴賴,6
塗畫,4
濕透,6
一臉,6
拾穗,7
承諾為,2
步履,2
宣紙,3
欲,3
嚐了,8
穿越,10
飛鳥,16
多一點,11
離不開,2
覺得,17
自言,2
裡混亂,4
沒上,3
尾,10
留守,2
雨點,2
根頭,4
凌虐,2
白色,2
頻率,10
相,18
詩從,1
落日,6
換來,35
囚禁,4
累不累,10
晚,4
乘著,4
由,2
依賴,5
洩漏,1
規律,4
路口,2
過後沈重,5
而過,2
路給,2
龔鈺祺,3
藍先,2
嬰兒頭,1
跳,14
該,30
欣賞,6
重傷魚,6
阮歸,2
扣成,4
沒愛人,1
還深,2
老,16
明天,19
愚昧,6
雖有,4
守夜,6
指尖,4
八月,11
情傷,2
沒人,18
還閉,8
恨滋養,5
青鳥,2
天空,70
風景,11
俘虜,4
稻浪,2
想要,34
林瑋哲,2
觀賞,4
狼主傳,4
暴躁,4
穿洞,2
自語,2
有時,13
活著,5
清晨,27
鬧,16
辣得,7
歡笑響,1
涼,5
陳,10
驚奇,3
流失,4
放開,5
一段,2
吹,17
蛋殼裡,2
孝良,2
母夜叉,3
清晰,11
美麗,22
式微,2
清明,2
女,4
太多罪,2
歇,1
躲念頭,3
不吭,6
妖嬌,2
蓋蓋出,2
前,27
投奔,2
睏,6
哎,60
還是屬,2
遠離,2
髒,23
飛將,2
深愛過,4
乖乖,2
胖,2
台上,12
夜已,1
著妝,4
受不了,11
轟,1
辦法,2
散開,4
善良,3
白鴿,18
飛在,6
謎題,2
傳來,2
掛念,6
加上,4
不同,8
所在,2
模糊,9
暗自,2
瘟疫,4
比美,15
適合,2
靠近,4
迴,19
兇狠,3
濕,12
坦克,4
記憶,30
形同陌路,5
彿,18
鮮艷,1
不知,15
目光,5
那天,16
季節,9
夢裡,1
時時,3
飛翔,13
地痛,4
一個樣,8
再,97
寂寥,8
給傾,1
多重,3
表面,6
撕扯,2
沈醉,10
絆倒,3
爛了,5
遇過,3
埋怨,6
代聯合,1
羨慕,2
山崩地裂,2
合是,3
約,6
掌紋揮,1
醫院,3
重見,2
逃出,10
復,6
時鐘,2
正在,3
殘忍,4
金壺,2
演成,3
落成,2
之幻,2
轉身,9
印象,11
水,11
風是,2
哪個,14
快活,13
嘈水聲,5
不太熟,4
憔悴,2
契約,8
那愛絕,8
所,12
海因,3
逃不開,3
犧牲,4
針底劃,2
戲念頭,8
大街小巷,4
保留,19
無視,7
重,4
喘,2
一桌,2
若有,4
謙虛,4
月光,9
伊哈,4
大惡,2
沈重,9
才能,15
知,4
壘,3
脫軌,2
只教,4
牠,6
難,27
來撫,3
億豪,1
糟人,4
紛念,1
掙扎夏蟬,5
還以,3
臭,4
套用,2
倒不如,8
泥土,2
剩哀傷,2
一桶,4
跳蚤,8
突然,19
浪靜靜,4
絢爛,3
嘴巴,4
唔,6
像是,13
平多,1
亮光,4
乾,3
著煙壓,4
自覺,3
成為,9
麻痺,8
麻痹,7
越,28
滿足,7
手發抖,3
褪色,4
笑,45
珍貴,4
爸爸,18
休止,2
下雷,8
噴泉,1
煩過,2
無人,11
一條,6
迷幻,2
淡疤,6
有裂,3
狂歡,4
沒去過,2
會不會,8
繁至,2
前個,2
手掌,6
打開,1
誰,244
過線,4
濕過,4
鐘搖頭,6
無畏,2
熟悉,6
溫床,5
侵略,12
歇斯底里,30
做到,2
躺,4
演技,5
晃,4
交頭,4
家庭,2
拿出,2
延後又不斷,2
全都,39
不出,1
降,2
菩薩,3
撒旦,2
秒,11
音樂飆,1
夜玫瑰,2
不露,8
真假,3
臉紅紅,2
補,2
解還,4
屑,4
啥,3
預演,6
相同,18
無所謂,22
徹底,11
理智,5
歌名,7
刷錯,2
盛放,7
惚,2
噴泉同,2
下雨天,9
風花雪,2
引自夏宇,1
顧聖潔,2
遷,1
覺則,3
陌生,14
快樂地,1
刮起,2
好,87
什麼,168
喧嘩,10
戲演,6
心變,3
數到,4
草原,10
死去,22
豪華車,2
大膽,2
實活,4
全然,3
揭開,2
放在,2
皮膚,5
貸款,2
緊緊,3
或,57
某種,5
未盛,2
踮,8
趟,4
魚載,3
麥擱,2
抱,13
悲傷,24
摩西,4
舞台,10
孩提,2
點水,11
預期,6
希微,2
烏龜,1
浮現,6
摘落,3
窮涼,5
雙腳,2
白雪,2
流理台,1
認識,2
減跟著,2
聲音,9
良母,2
個夠,8
咖啡杯,6
同地點,6
目送,2
青絲,2
愛竟,2
慣,7
右手,16
子,3
懂得,13
合奏,4
小船,2
名氏,1
萬盞,2
異國,4
毛,2
加油,3
機會,6
綁票,11
半頂,4
此,2
給戰略,1
緩緩,2
章節,1
衷心,2
容顏變,1
成半開,2
點破,3
應該,14
眼淚,47
僅扣,3
甘願,6
給嘆息,1
日夜,4
如絲般,3
從頭,10
籬下,4
燒完,2
某個,5
咽喉,2
重量,2
擴散,2
幾,6
強盜,5
會,69
嬉戲,2
荊棘,3
薄,5
血逆著,2
不癢,4
顛倒會,11
盡畫面,1
基因,2
飛繞,4
神化,2
煩煩,2
犯錯,3
垂憐,2
火焰,6
愛誰無所謂,2
抖,5
不發,3
看夜,2
追是,2
奮鬥成,2
因饒,2
艷紅,2
伊甸,2
大,16
趁早,12
手把,4
裡旋,3
切成,2
偷看,8
成熟,5
豢養,2
斑駁,3
泅潛過,3
井青蝶,1
形成,2
遠窗,9
膚淺,1
剩愛只,2
舉杯,10
聲響,4
遼闊,15
慶祝,20
帶後制,1
原點,11
浪漫派,1
小芬,3
追千,1
卻問,2
腦海,3
大腿,2
一念,2
遍,2
里,4
不應,4
沙灘,2
走來,3
越緊,4
歌唱,21
甜美,15
灼傷,2
扶梯,4
活是,3
沒法,4
喜怒,4
魚已經,2
蟲蟲,2
心越,2
如何,10
竟然,13
大成,3
琴聲,12
糖份,2
話,30
殆盡,3
失控,17
維尼,1
提醒,9
火車,4
最活躍,2
