word,count
雙手,13
孩能,2
即興,2
唱著,12
三點,16
如同,4
將心靈,4
一陣雨配,2
伊,4
沒人能,32
一言,6
大夢夜,4
驕傲,4
包裝,2
創意,4
怎麼,80
一記,7
拆穿,3
還沒,3
拜見,3
解放,2
這天,1
一樣,30
錢,8
哭管,2
亦,6
沿著,7
體溫,2
雲穿,3
焦距,4
作,5
向右看,6
河,3
天邊,5
包裹,1
渴,2
幻覺,2
停止使用,5
不痛,4
好舊,6
高超,5
犯錯,3
吃不完,2
令人窒息,2
插花,2
似曾,2
舉動,4
變身,3
反,3
釣,4
手阿福鍵,1
邊界,2
正常,4
擋,4
全副,4
苗,2
游泳,3
可言,2
翻譯,1
升起,2
遠,37
柔情,3
右腿,4
同流,2
心裡,34
罪,2
陰霾,4
作弄,4
狂親,2
咖啡店,2
冷冷的,3
歲,17
雪白,5
弧線,2
許天,4
妖魔,5
發鮮艷,1
接近,5
千年,4
愁,7
譁,2
仔,1
那紅紅,4
紛紛,4
沈,36
個,35
入睡,6
涅槃,2
溝通,4
漸漸,11
暑能,2
粉刷,3
鐘,2
鳥,7
貧窮,3
惡夢,4
眨眼,2
離人,2
無,57
全力,1
傀儡,2
假,4
絕望,8
見心,5
哎呀,18
將現,3
造的紅,2
試煉,4
抓著,3
成功,5
是,461
狼煙,4
念頭,14
別以,2
太過,5
蹲,4
魚缸,2
不得,9
我耳邊,2
剝離,7
往常,6
不留,4
油漆未乾,4
相愛又離合,2
關了,1
不病,8
做過,4
痊,2
衝,4
青東,4
心血,2
不用,2
窮奢極,3
嗎,43
饑,2
適用,1
驚嘆轉,1
扛走,3
忘神,6
花生,1
可站,4
教,4
歐歐歐,2
我頭,5
老去,8
也,338
紫夜,4
一人過,2
遲到,18
盤,5
收集,4
過往,4
臨盆,4
開有,3
以來,4
腸了,5
已來,6
殿堂,2
未免太,2
遺棄,4
無法,27
滴,4
身段,3
艱苦,6
套,2
我別,7
永恆河,1
不甘,2
過得,2
毋管,1
安靜,6
顛無處,3
人身,3
浩翰,1
婦人,4
上,117
詩登,2
飄散,10
瘋癲耶耶,1
他們,16
亢奮,5
悲劇,4
底,2
綠出,2
欺瞞,4
輪廓,28
冬瓜,1
齊發,4
中別,2
跌落,2
一次,10
嚥,23
響徹,6
鴨,4
塗畫,4
濕透,6
一臉,6
拾穗,7
承諾為,2
步履,2
宣紙,3
欲,3
嚐了,8
穿越,10
飛鳥,16
多一點,11
離不開,2
覺得,17
自言,2
裡混亂,4
沒上,3
尾,10
你面,2
留守,2
根頭,4
凌虐,2
白色,2
頻率,10
給你傾,1
詩從,1
落日,6
換來,35
順應,3
晚,4
乘著,4
由,2
依賴,5
洩漏,1
規律,4
路口,2
一步,12
而過,2
路給,2
龔鈺祺,3
藍先,2
嬰兒頭,1
跳,14
該,30
欣賞,6
阮歸,2
扣成,4
沒愛人,1
還深,2
老,16
明天,19
愚昧,6
雖有,4
守夜,6
指尖,4
八月,11
情傷,2
沒人,18
還閉,8
青鳥,2
天空,70
風景,17
俘虜,4
稻浪,2
想要,34
林瑋哲,2
觀賞,4
光害裡,2
暴躁,4
穿洞,2
自語,2
有時,10
活著,5
清晨,27
鬧,16
辣得,7
歡笑響,1
不記,5
陳,14
驚奇,3
流失,4
放開,5
一段,2
吹,17
敵,4
孝良,2
皺,4
清晰,11
美麗,40
式微,2
清明,2
女,4
蟄,4
歇,1
此,2
不吭,6
妖嬌,2
書,1
前,29
投奔,2
睏,6
哎,44
還是屬,2
遠離,2
髒,23
的魚,7
深愛過,4
乖乖,2
胖,2
台上,12
夜已,1
著妝,4
問愛總,2
我會永遠,14
受不了,11
轟,1
辦法,2
散開,4
善良,3
白鴿,18
飛在,6
謎題,2
傳來,2
掛念,6
加上,4
不同,8
所在,2
模糊,9
天比,5
瘟疫,4
適合,2
靠近,4
迴,19
兇狠,3
新聞毀,3
坦克,4
記憶,30
形同陌路,5
彿,18
鮮艷,1
不知,15
目光,5
那天,16
季節,9
夢裡,8
時時,3
飛翔,13
地痛,4
一個樣,8
再,97
寂寥,8
傷痛傷,2
多重,3
表面,6
撕扯,2
沈醉,10
爛了,5
遇過,3
代聯合,1
羨慕,2
山崩地裂,2
合是,3
約,6
掌紋揮,1
醫院,3
逃出,10
復,6
正在,3
殘忍,4
夜空,2
演成,3
落成,2
之幻,2
轉身,9
印象,11
水,11
哪個,14
快活,13
嘈水聲,5
不太熟,4
憔悴,2
契約,8
那愛絕,8
所,10
海因,3
飛得,3
犧牲,4
針底劃,2
大街小巷,4
保留,19
無視,7
重,6
喘,2
一桌,2
謙虛,4
月光,9
教條,2
大惡,2
沈重,14
才能,15
知,4
壘,3
脫軌,2
著騙,2
只教,4
鏡,2
牠,6
難,27
來撫,3
億豪,1
糟人,4
掙扎夏蟬,5
還以,3
臭,4
東西,4
套用,2
倒不如,8
泥土,2
剩哀傷,2
一桶,4
還任,8
突然,19
浪靜靜,4
愛戀成,1
絢爛,3
邊當,2
唔,6
像是,13
平多,1
錯誤,7
著煙壓,4
自覺,3
載,3
麻痺,8
麻痹,7
越,36
滿足,9
手發抖,3
褪色,4
笑,48
珍貴,4
爸爸,18
同地點,6
下雷,8
噴泉,1
煩過,2
無人,11
一條,6
迷幻,2
有裂,3
狂歡,4
沒去過,2
會不會,6
繁至,2
前個,2
手掌,6
打開,3
誰,244
過線,4
無畏,2
熟悉,6
溫床,5
侵略,12
歇斯底里,30
氣然,1
我揮,8
做到,2
躺,4
演技,5
左,2
晃,4
交頭,4
家庭,2
拿出,2
全都,39
不出,1
降,2
眉,2
門扉,4
菩薩,3
撒旦,2
秒,11
音樂飆,1
傷悲,4
不露,8
真假,3
臉紅紅,2
補,2
屑,4
啥,3
預演,6
相同,18
無所謂,22
徹底,11
理智,5
歌名,7
刷錯,2
盛放,7
噴泉同,2
下雨天,9
風花雪,2
引自夏宇,1
遷,1
覺則,3
陌生,14
快樂地,1
刮起,2
好,47
什麼,170
喧嘩,10
戲演,6
心變,3
數到,4
草原,10
死去,22
豪華車,2
大膽,2
實活,4
全然,3
揭開,2
揭發,4
放在,2
皮膚,5
貸款,2
純,6
緊緊,3
或,47
未盛,2
踮,8
趟,4
魚載,3
通了電,4
抱,7
悲傷,24
摩西,4
舞台,10
孩提,2
點水,11
預期,6
希微,2
男憂傷,1
浮現,6
摘落,3
窮涼,5
雙腳,2
白雪,2
流理台,1
認識,2
減跟著,2
聲音,11
良母,2
個夠,8
咖啡杯,6
我家,3
目送,2
青絲,2
愛竟,2
慣,7
右手,16
子,3
懂得,13
脾氣,2
合奏,4
小船,2
萬盞,2
異國,4
毛,2
加油,3
機會,6
綁票,11
半頂,4
星空,4
緩緩,2
章節,1
去秋,3
容顏變,1
成半開,2
點破,3
應該,14
眼淚,47
僅扣,3
甘願,6
日夜,4
如絲般,3
額度,2
從頭,10
籬下,4
燒完,2
某個,5
咽喉,2
重量,2
擴散,2
幾,6
強盜,5
會,68
嬉戲,2
荊棘,3
薄,5
血逆著,2
不癢,4
試著躍過,2
還擁,2
基因,2
知多少,8
神化,2
煩煩,2
垂憐,2
火焰,6
愛誰無所謂,2
有過,12
不發,3
茶去,2
奮鬥成,2
不怕,14
艷紅,2
伊甸,2
疤,6
大,21
趁早,12
手把,4
裡旋,3
切成,2
偷看,8
成熟,5
斑駁,3
泅潛過,3
井青蝶,1
形成,2
踟,5
膚淺,2
剩愛只,2
舉杯,10
聲響,4
遼闊,15
慶祝,10
帶後制,1
原點,11
浪漫派,1
小芬,3
追千,1
卻問,2
腦海,3
大腿,2
一念,2
遍,2
里,4
不應,4
沙灘,2
走來,3
越緊,4
歌唱,27
甜美,15
灼傷,2
扶梯,4
活是,3
沒法,4
喜怒,4
魚已經,2
不趕,6
心越,2
如何,10
竟然,13
大成,3
琴聲,12
疼痛,2
糖份,2
話,35
殆盡,3
失控,17
我願,4
維尼,1
提醒,9
火車,4
以後畫,2
蜂,2
說學,7
幹愛情,4
到底,15
一下,2
水上,2
衝在,2
扎入,4
入口,10
艾緹雅,1
綑,1
出水,2
穿梭,7
要求,6
一世,4
吟唱,5
思考,9
義總有,2
集體,2
知己,6
真的,12
